"Account_Length";"Phone_Number";"Inter_Plan";"Total_Day_Min";"Total_Day_calls";"Total_Evening_Min";"Total_Evening_Calls";"Total_Night_Minutes";"Total_Night_Calls";"Total_Int_Min";"Total_Int_Calls";"No_of_Calls_Customer_Service";"Churn";"N_of_Vmail_Mesgs_VMail_Plan";"Total_Charge"
107.0;"371-7191";"no";161.6;123.0;195.5;103.0;254.4;103.0;13.7;3.0;1.0;"FALSE";26.0;59.24000000000001
137.0;"358-1921";"no";243.4;114.0;121.2;110.0;162.6;104.0;12.2;5.0;0.0;"FALSE";-1.0;62.290000000000006
84.0;"375-9999";"yes";299.4;71.0;61.9;88.0;196.9;89.0;6.6;7.0;2.0;"FALSE";-1.0;66.8
75.0;"330-6626";"yes";166.7;113.0;148.3;122.0;186.9;121.0;10.1;3.0;3.0;"FALSE";-1.0;52.09
118.0;"391-8027";"yes";223.4;98.0;220.6;101.0;203.9;118.0;6.3;6.0;0.0;"FALSE";-1.0;67.61
121.0;"355-9993";"no";218.2;88.0;348.5;108.0;212.6;118.0;7.5;7.0;3.0;"FALSE";24.0;78.31
147.0;"329-9001";"yes";157.0;79.0;103.1;94.0;211.8;96.0;7.1;6.0;0.0;"FALSE";-1.0;46.900000000000006
117.0;"335-4719";"no";184.5;97.0;351.6;80.0;215.8;90.0;8.7;4.0;1.0;"FALSE";-1.0;73.32000000000001
141.0;"330-8173";"yes";258.6;84.0;222.0;111.0;326.4;97.0;11.2;5.0;0.0;"FALSE";37.0;80.53999999999999
65.0;"329-6603";"no";129.1;137.0;228.5;83.0;208.8;111.0;12.7;6.0;4.0;"TRUE";-1.0;54.2
74.0;"344-9403";"no";187.7;127.0;163.4;148.0;196.0;94.0;9.1;5.0;0.0;"FALSE";-1.0;57.08
168.0;"363-1107";"no";128.8;96.0;104.9;71.0;141.1;128.0;11.2;2.0;1.0;"FALSE";-1.0;40.190000000000005
95.0;"394-8006";"no";156.6;88.0;247.6;75.0;192.3;115.0;12.3;5.0;3.0;"FALSE";-1.0;59.64
62.0;"366-9238";"no";120.7;70.0;307.2;76.0;203.0;99.0;13.1;6.0;4.0;"FALSE";-1.0;59.309999999999995
161.0;"351-7269";"no";332.9;67.0;317.8;97.0;160.6;128.0;5.4;9.0;4.0;"TRUE";-1.0;92.29
85.0;"350-8884";"no";196.4;139.0;280.9;90.0;89.3;75.0;13.8;4.0;1.0;"FALSE";27.0;65.02
93.0;"386-2923";"no";190.7;114.0;218.2;111.0;129.6;121.0;8.1;3.0;3.0;"FALSE";-1.0;58.989999999999995
76.0;"356-2992";"no";189.7;66.0;212.8;65.0;165.7;108.0;10.0;5.0;1.0;"FALSE";33.0;60.50000000000001
73.0;"373-2782";"no";224.4;90.0;159.5;88.0;192.8;74.0;13.0;2.0;1.0;"FALSE";-1.0;63.9
147.0;"396-5800";"no";155.1;117.0;239.7;93.0;208.8;133.0;10.6;4.0;0.0;"FALSE";-1.0;59.0
77.0;"393-7984";"no";62.4;89.0;169.9;121.0;209.6;64.0;5.7;6.0;5.0;"TRUE";-1.0;36.019999999999996
130.0;"358-1958";"no";183.0;112.0;72.9;99.0;181.8;78.0;9.5;19.0;0.0;"FALSE";-1.0;48.06
111.0;"350-2565";"no";110.4;103.0;137.3;102.0;189.6;105.0;7.7;6.0;2.0;"FALSE";-1.0;41.05
132.0;"343-4696";"no";81.1;86.0;245.2;72.0;237.0;115.0;10.3;2.0;0.0;"FALSE";-1.0;48.08
174.0;"331-3698";"no";124.3;76.0;277.1;112.0;250.7;115.0;15.5;5.0;3.0;"FALSE";-1.0;60.15
57.0;"357-3817";"no";213.0;115.0;191.1;112.0;182.7;115.0;9.5;3.0;0.0;"FALSE";39.0;63.24
54.0;"418-6412";"no";134.3;73.0;155.5;100.0;102.1;68.0;14.7;4.0;3.0;"FALSE";-1.0;44.61
20.0;"353-2630";"no";190.0;109.0;258.2;84.0;181.5;102.0;6.3;6.0;0.0;"FALSE";-1.0;64.12
49.0;"410-7789";"no";119.3;117.0;215.1;109.0;178.7;90.0;11.1;1.0;1.0;"FALSE";-1.0;49.6
142.0;"416-8428";"no";84.8;95.0;136.7;63.0;250.5;148.0;14.2;6.0;2.0;"FALSE";-1.0;41.14
75.0;"370-3359";"no";226.1;105.0;201.5;107.0;246.2;98.0;10.3;5.0;1.0;"FALSE";-1.0;69.42999999999999
172.0;"383-1121";"no";212.0;121.0;31.2;115.0;293.3;78.0;12.6;10.0;3.0;"FALSE";-1.0;55.28999999999999
